0                   96                  105.19554             900.4253 26286.69   18321.95  
1                   90                  22.371006             181.12039 24638.793   16896.896  
2                   71                  13.50937              826.9236 26747.314  17363.39  
3                   80                  8.44822              1492.1937 26514.936  19381.691 
4                   78                  7.3769417             839.73096 26543.014   15552.993  
5                   99                  3.3551784             267.40964 26475.844   15855.078  
6                   87                  12.389572             963.79517 26495.973   17794.994  
7                   116                 10.330459            1171.5802 26447.22   18336.576 
8                   83                  6.293326            74993.56 24189.98 16774.01
9                   85                  7.466234             1632.5065 25474.32   18378.684 
10                  93                  6.9639177            1368.0372 26675.639  17310.545 
11                  100                 8.051966             1065.2831 26616.152  18380.043 
12                  89                  7.918371              792.206 26647.164 17880.008
13                  100                 4.317113            74936.94  24100.686 16492.652
14                  81                  8.66325               446.65784 24600.412   16833.562  
15                  69                  7.597595              859.71954 26576.213   17707.328  
16                  63                  3.3196               1528.8313 26127.508  19848.355 
17                  73                  2.4439375             405.09546 26700.404   19192.062  
18                  90                  4.938975             1259.6931 26714.74   17672.871 
19                  121                 3.3055212             658.9915 25915.516  18176.314 
